      Input Object Name       | Redshift | Redshift  |    Mean    | Std. Dev.  | of   
                              |          |Uncertainty|   (Mpc)    |   (Mpc)    |z-ind.
                              |          |           |            |            |Dist.  
SMC                           |  0.000527|   0.000013|        0.06|        0.01|   294
LMC                           |  0.000927|   0.000007|        0.05|        0.00|   824
NGC 6822                      | -0.000190|   0.000007|        0.52|        0.18|   127
NGC 598                       | -0.000597|   0.000010|        0.87|        0.21|   137
NGC 221                       | -0.000667|   0.000020|        0.77|        0.06|    35
NGC 224                       | -0.001001|   0.000013|        0.78|        0.12|   407
NGC 5457                      |  0.000804|   0.000007|        6.64|        0.94|   116
NGC 4736                      |  0.001027|   0.000005|        5.13|        0.72|    21
NGC 5194                      |  0.001544|   0.000010|        7.23|        2.13|    53
NGC 4449                      |  0.000690|   0.000013|        3.87|        0.68|    15
NGC 4214                      |  0.000970|   0.000010|        2.98|        1.10|    19
NGC 3031                      | -0.000113|   0.000013|        3.67|        0.48|    99
NGC 3627                      |  0.002425|   0.000010|        9.62|        1.96|    79
NGC 4826                      |  0.001361|   0.000013|        5.42|        1.02|    23
NGC 5236                      |  0.001711|   0.000007|        6.51|        3.42|    20
NGC 1068                      |  0.003793|   0.000010|       10.58|        2.96|    11
NGC 5055                      |  0.001614|   0.000003|        7.71|        1.58|    27
NGC 7331                      |  0.002722|   0.000004|       13.43|        2.70|    54
NGC 4258                      |  0.001494|   0.000010|        7.27|        0.98|    95
NGC 4151                      |  0.003319|   0.000010|        9.92|        8.00|    16
NGC 4382                      |  0.002432|   0.000006|       15.22|        5.33|    26
NGC 4472                      |  0.003272|   0.000017|       16.06|        2.87|    68
NGC 4486                      |  0.004283|   0.000017|       16.75|        2.94|   119
NGC 4649                      |  0.003703|   0.000017|       16.70|        3.05|    46
